ObjectClass,Name,whenCreated,whenChanged,DistinguishedName
"top, attributeSchema",ms-FVE-RecoveryGuid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Operating-System,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Time-Refresh,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-Ingress-Claims-Transformation-Policy,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-App-Data,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",IpService,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Content-Indexing-Allowed,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Max-Ticket-Age,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-TPM-OwnerInformation,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Operating-System-Hotfix,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Time-Vol-Change,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-Egress-Claims-Transformation-Policy,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Context-Menu,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",May-Contain,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-ieee-80211-Data,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Operating-System-Service-Pack,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Title,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-TDO-Egress-BL,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-Az-Admin-Manager,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",IpProtocol,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Control-Access-Rights,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingAdvertiseScope,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-ieee-80211-Data-Type,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Operating-System-Version,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Tombstone-Lifetime,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-TDO-Ingress-BL,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Cost,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingApplication,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-ieee-80211-ID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Operator-Count,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Transport-Address-Attribute,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-Transformation-Rules-Compiled,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-Az-Application,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",OncRpc,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Country-Code,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingBandwidth,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
