ZoneName,Name,RecordType,Data,TTL,Age,TimeStamp,UpdatedAtSerial,whenCreated,whenChanged,showInAdvancedViewOnly,DistinguishedName
RootDNSServers,A.ROOT-SERVERS.NET,AAAA,2001:0503:ba3e:0000:0000:0000:0002:0030,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=A.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,B.ROOT-SERVERS.NET,AAAA,2001:0500:0084:0000:0000:0000:0000:000b,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=B.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,C.ROOT-SERVERS.NET,AAAA,2001:0500:0002:0000:0000:0000:0000:000c,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=C.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,D.ROOT-SERVERS.NET,AAAA,2001:0500:002d:0000:0000:0000:0000:000d,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=D.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,E.ROOT-SERVERS.NET,A,192.203.230.10,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=E.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,F.ROOT-SERVERS.NET,AAAA,2001:0500:002f:0000:0000:0000:0000:000f,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=F.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,G.ROOT-SERVERS.NET,A,192.112.36.4,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=G.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,H.ROOT-SERVERS.NET,AAAA,2001:0500:0001:0000:0000:0000:0000:0053,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=H.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,I.ROOT-SERVERS.NET,AAAA,2001:07fe:0000:0000:0000:0000:0000:0053,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=I.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,J.ROOT-SERVERS.NET,AAAA,2001:0503:0c27:0000:0000:0000:0002:0030,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=J.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,K.ROOT-SERVERS.NET,AAAA,2001:07fd:0000:0000:0000:0000:0000:0001,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,L.ROOT-SERVERS.NET,AAAA,2001:0500:009f:0000:0000:0000:0000:0042,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,M.ROOT-SERVERS.NET,AAAA,2001:0dc3:0000:0000:0000:0000:0000:0035,0,0,[static],0,1/28/2024 10:49:12 PM,1/28/2024 10:49:12 PM,TRUE,"DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
vulnad.local,win11-dev,AAAA,fdde:782e:a6dc:4f08:91cd:1fa0:898d:81af,2953052160,3726152,01/29/2026 08:00:00 AM,1276,2/14/2024 11:35:02 PM,1/29/2026 8:38:46 AM,TRUE,"DC=win11-dev,DC=vulnad.local,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
vulnad.local,win11-dev,A,192.168.178.33,2953052160,3726152,01/29/2026 08:00:00 AM,1276,2/14/2024 11:35:02 PM,1/29/2026 8:38:46 AM,TRUE,"DC=win11-dev,DC=vulnad.local,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
vulnad.local,@,AAAA,fdde:782e:a6dc:4f08:124c:5237:b1fd:e331,1476526080,3725794,01/14/2026 10:00:00 AM,1243,1/28/2024 10:57:21 PM,1/14/2026 10:10:32 AM,TRUE,"DC=@,DC=vulnad.local,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
vulnad.local,@,SOA,[1242][dc1.vulnad.local.][hostmaster.vulnad.local.][900][600][86400][3600],269352960,0,[static],1243,1/28/2024 10:57:21 PM,1/14/2026 10:10:32 AM,TRUE,"DC=@,DC=vulnad.local,CN=MicrosoftDNS,DC=DomainDnsZones,DC=vulnad,DC=local"
